,id,time,name,url,ticker,reason,rate,stock
0,0001,10:20,TEST (0000・東証),/brand/?code=3975,0000,三角保ち合い上放れ初日 ,+97.67 %,株価
1,0002,10:20,TEST (0000・東証),/brand/?code=3975,0000,三角保ち合い上放れ初日 ,+97.67 %,株価
0,2021-09-21 17:42:04.856116,15:30,大光 (3160・東1),/brand/?code=3160,3160,上値抵抗線突破初日 ,+10.62 %,株価
0,2021-09-21 17:42:04.860966,15:30,アグロ　カネショウ (4955・東1),/brand/?code=4955,4955,トレンド支持線からの反発初日 ,+22.7 %,株価
0,2021-09-21 17:42:04.864938,15:30,兼松サステック (7961・東1),/brand/?code=7961,7961,三角保ち合い上放れ初日 ,+10.82 %,株価
0,2021-09-21 17:42:04.868674,15:20,日本和装ホールディングス (2499・東2),/brand/?code=2499,2499,三角保ち合い上放れ初日 ,+14.78 %,株価
0,2021-09-21 17:42:04.872703,15:20,小倉クラッチ (6408・JQS),/brand/?code=6408,6408,押し目からの反発初日 ,+30.31 %,株価
0,2021-09-21 17:42:04.876074,15:20,南陽 (7417・東1),/brand/?code=7417,7417,三角保ち合い上放れ初日 ,+37.78 %,株価
0,2021-09-21 17:42:04.879397,15:20,ナガホリ (8139・東2),/brand/?code=8139,8139,トレンドライン突破初日 ,+22.38 %,株価
0,2021-09-21 17:42:04.882498,15:20,東海汽船 (9173・東2),/brand/?code=9173,9173,トレンドライン突破初日 ,+5.55 %,株価
0,2021-09-21 17:42:04.885576,15:10,東名 (4439・東1),/brand/?code=4439,4439,上値抵抗線突破初日 ,+27.08 %,株価
0,2021-09-21 17:42:04.888632,15:10,日本エマージェンシーアシスタンス (6063・JQS),/brand/?code=6063,6063,上値抵抗線突破初日 ,+138.72 %,株価
0,2021-09-21 17:42:04.891644,15:00,フレンドリー (8209・東2),/brand/?code=8209,8209,押し目からの反発初日 ,+28.35 %,株価
0,2021-09-21 17:42:04.894580,14:50,ソケッツ (3634・東2),/brand/?code=3634,3634,上値抵抗線突破初日 ,-11.8 %,株価
0,2021-09-21 17:42:04.897411,14:50,ビーブレイクシステムズ (3986・マザ),/brand/?code=3986,3986,上値抵抗線突破初日 ,+9.15 %,株価
